,Level,"Original
Objects","Recommended
Objects","Object
Difference","Original
Enemies","Recommended
Enemies","Enemy
Difference","Original
Difficulty","Recommended
Difficulty"
23,World_8_Level_1,World_5_Level_2,19,17.5,World_5_Level_1,World_4_Level_4,14.5,,
4,World_8_Level_1,World_3_Level_1,4,3,World_5_Level_1,World_6_Level_2,3,,
79,World_4_Level_2,World_3_Level_1,15,22,World_1_Level_2,World_6_Level_2,19,,
64,World_4_Level_2,World_2_Level_3,19,3,World_1_Level_2,World_2_Level_3,3,,
45,World_4_Level_2,World_8_Level_2,20,22.5,World_4_Level_2,World_2_Level_3,22,,
25,World_4_Level_2,World_4_Level_4,20,0.5,World_4_Level_2,World_7_Level_4,0.5,,
5,World_4_Level_2,World_2_Level_4,5,28.5,World_8_Level_1,World_7_Level_4,28.5,,
80,World_1_Level_2,World_2_Level_4,16,,,,,,
64,World_1_Level_2,World_2_Level_2,21,,,,,,
43,World_1_Level_2,Cloud_Bonus_1,21,,,,,,
22,World_1_Level_2,Underground_Bonus,22,,,,,,
,,Total:,377,,,Total:,163,,
